"","X","price","overall_satisfaction","reviews","room_type","accommodates","bedrooms","minstay","neighborhood","district","WalkScore","TransitScore","BikeScore","PctBlack"
"21",21,180,5,9,"Entire home/apt",4,2,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"22",22,149,5,13,"Entire home/apt",6,2,5,"Albany Park","Far North",87,62,68,0.0425315386240135
"23",23,89,5,22,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"24",24,150,4.5,20,"Entire home/apt",8,3,NA,"Albany Park","Far North",87,62,68,0.0425315386240135
"25",25,106,4,40,"Entire home/apt",4,1,2,"Albany Park","Far North",87,62,68,0.0425315386240135
"26",26,50,5,4,"Private room",2,1,NA,"Albany Park","Far North",87,62,68,0.0425315386240135
"27",27,75,4.5,45,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"28",28,79,4.5,47,"Entire home/apt",4,2,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"29",29,45,5,13,"Private room",1,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"30",30,66,5,5,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"31",31,35,5,8,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"32",32,40,5,15,"Private room",2,1,2,"Albany Park","Far North",87,62,68,0.0425315386240135
"33",33,85,5,37,"Entire home/apt",2,1,3,"Albany Park","Far North",87,62,68,0.0425315386240135
"34",34,50,5,16,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"35",35,37,4.5,14,"Private room",2,1,3,"Albany Park","Far North",87,62,68,0.0425315386240135
"36",36,75,4.5,80,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"37",37,60,5,10,"Private room",2,1,2,"Albany Park","Far North",87,62,68,0.0425315386240135
"38",38,100,4.5,10,"Entire home/apt",5,2,3,"Albany Park","Far North",87,62,68,0.0425315386240135
"39",39,150,4.5,19,"Entire home/apt",6,3,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"40",40,39,5,21,"Private room",4,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"41",41,94,5,52,"Entire home/apt",4,2,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"42",42,89,5,9,"Entire home/apt",4,1,NA,"Albany Park","Far North",87,62,68,0.0425315386240135
"43",43,49,4.5,4,"Private room",8,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"44",44,114,4.5,45,"Entire home/apt",4,2,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"45",45,40,4.5,9,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"46",46,80,4.5,14,"Private room",4,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"47",47,95,5,5,"Entire home/apt",5,2,2,"Albany Park","Far North",87,62,68,0.0425315386240135
"48",48,87,5,16,"Entire home/apt",2,0,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"49",49,100,5,33,"Entire home/apt",2,1,3,"Albany Park","Far North",87,62,68,0.0425315386240135
"50",50,250,5,4,"Entire home/apt",7,4,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"51",51,70,4,4,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"52",52,50,5,30,"Private room",2,1,1,"Archer Heights","Southwest",74,57,61,0.00859339665309815
"53",53,50,4.5,29,"Private room",2,1,1,"Archer Heights","Southwest",74,57,61,0.00859339665309815
"54",54,100,4.5,43,"Entire home/apt",6,3,1,"Archer Heights","Southwest",74,57,61,0.00859339665309815
"55",55,40,5,5,"Shared room",1,1,1,"Archer Heights","Southwest",74,57,61,0.00859339665309815
"56",56,45,4.5,36,"Private room",2,1,1,"Archer Heights","Southwest",74,57,61,0.00859339665309815
"57",57,106,3.5,3,"Entire home/apt",6,2,1,"Avondale","North",84,68,77,0.0211978550388963
"58",58,275,5,9,"Entire home/apt",6,3,NA,"Avondale","North",84,68,77,0.0211978550388963
"59",59,85,5,51,"Private room",2,1,NA,"Avondale","North",84,68,77,0.0211978550388963
"60",60,70,5,3,"Private room",4,1,1,"Avondale","North",84,68,77,0.0211978550388963
"61",61,89,5,23,"Entire home/apt",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"62",62,100,5,6,"Entire home/apt",5,2,2,"Avondale","North",84,68,77,0.0211978550388963
"63",63,69,4.5,46,"Entire home/apt",4,1,1,"Avondale","North",84,68,77,0.0211978550388963
"64",64,105,5,59,"Entire home/apt",4,1,3,"Avondale","North",84,68,77,0.0211978550388963
"65",65,399,4.5,27,"Entire home/apt",8,3,2,"Avondale","North",84,68,77,0.0211978550388963
"66",66,35,4.5,31,"Shared room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"67",67,110,5,46,"Private room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"68",68,79,5,58,"Entire home/apt",2,0,1,"Avondale","North",84,68,77,0.0211978550388963
"69",69,177,5,44,"Entire home/apt",8,2,NA,"Avondale","North",84,68,77,0.0211978550388963
"70",70,78,5,4,"Entire home/apt",3,1,1,"Avondale","North",84,68,77,0.0211978550388963
"71",71,150,5,4,"Entire home/apt",4,2,1,"Avondale","North",84,68,77,0.0211978550388963
"72",72,110,4.5,22,"Entire home/apt",2,1,7,"Avondale","North",84,68,77,0.0211978550388963
"73",73,70,5,4,"Private room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"74",74,75,4.5,59,"Entire home/apt",4,2,2,"Avondale","North",84,68,77,0.0211978550388963
"75",75,35,4.5,10,"Private room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"76",76,500,5,3,"Entire home/apt",6,3,1,"Avondale","North",84,68,77,0.0211978550388963
"77",77,90,4.5,15,"Private room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"78",78,145,5,18,"Entire home/apt",6,2,3,"Avondale","North",84,68,77,0.0211978550388963
"79",79,80,5,43,"Private room",2,1,NA,"Avondale","North",84,68,77,0.0211978550388963
"80",80,44,4.5,3,"Private room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"81",81,115,5,29,"Entire home/apt",8,2,2,"Avondale","North",84,68,77,0.0211978550388963
"82",82,75,5,3,"Entire home/apt",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"83",83,115,5,79,"Entire home/apt",8,2,2,"Avondale","North",84,68,77,0.0211978550388963
"84",84,40,5,3,"Private room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"85",85,72,5,4,"Entire home/apt",3,1,5,"Avondale","North",84,68,77,0.0211978550388963
"86",86,69,4.5,27,"Private room",2,1,NA,"Avondale","North",84,68,77,0.0211978550388963
"87",87,55,4.5,52,"Private room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"88",88,85,5,7,"Entire home/apt",2,1,2,"Avondale","North",84,68,77,0.0211978550388963
"89",89,75,5,12,"Entire home/apt",4,2,NA,"Avondale","North",84,68,77,0.0211978550388963
"90",90,499,5,6,"Entire home/apt",16,9,2,"Avondale","North",84,68,77,0.0211978550388963
"91",91,55,5,66,"Private room",4,1,1,"Avondale","North",84,68,77,0.0211978550388963
"92",92,75,5,26,"Private room",3,1,1,"Avondale","North",84,68,77,0.0211978550388963
"93",93,139,5,4,"Entire home/apt",8,3,2,"Avondale","North",84,68,77,0.0211978550388963
"94",94,65,5,22,"Private room",3,1,NA,"Avondale","North",84,68,77,0.0211978550388963
"95",95,150,5,8,"Entire home/apt",6,3,1,"Avondale","North",84,68,77,0.0211978550388963
"96",96,35,5,7,"Shared room",1,1,1,"Avondale","North",84,68,77,0.0211978550388963
"97",97,29,5,4,"Shared room",3,1,1,"Avondale","North",84,68,77,0.0211978550388963
"98",98,159,5,9,"Entire home/apt",8,3,2,"Avondale","North",84,68,77,0.0211978550388963
"99",99,135,4.5,4,"Entire home/apt",6,3,2,"Avondale","North",84,68,77,0.0211978550388963
"100",100,110,5,40,"Private room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"101",101,119,5,21,"Entire home/apt",6,2,NA,"Avondale","North",84,68,77,0.0211978550388963
"102",102,152,5,33,"Entire home/apt",8,2,NA,"Avondale","North",84,68,77,0.0211978550388963
"103",103,20,5,34,"Shared room",1,1,1,"Avondale","North",84,68,77,0.0211978550388963
"104",104,143,4.5,6,"Entire home/apt",8,3,2,"Avondale","North",84,68,77,0.0211978550388963
"105",105,70,4.5,48,"Private room",4,1,2,"Avondale","North",84,68,77,0.0211978550388963
"106",106,29,4.5,10,"Private room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"107",107,30,4.5,3,"Private room",1,1,1,"Avondale","North",84,68,77,0.0211978550388963
"108",108,46,4.5,12,"Shared room",7,1,1,"Avondale","North",84,68,77,0.0211978550388963
"109",109,85,4.5,127,"Entire home/apt",3,2,2,"Avondale","North",84,68,77,0.0211978550388963
"110",110,70,5,31,"Private room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"111",111,130,4.5,20,"Entire home/apt",8,2,1,"Avondale","North",84,68,77,0.0211978550388963
"112",112,95,4.5,38,"Entire home/apt",2,1,4,"Avondale","North",84,68,77,0.0211978550388963
"113",113,299,5,13,"Entire home/apt",5,2,2,"Avondale","North",84,68,77,0.0211978550388963
"114",114,45,4.5,75,"Private room",2,1,1,"Avondale","North",84,68,77,0.0211978550388963
"115",115,130,5,49,"Entire home/apt",3,1,2,"Avondale","North",84,68,77,0.0211978550388963
"116",116,99,5,25,"Entire home/apt",4,2,1,"Avondale","North",84,68,77,0.0211978550388963
"117",117,90,5,61,"Private room",2,1,1,"Beverly","Far Southwest",64,50,68,0.348642805668989
"118",118,60,5,8,"Private room",4,1,1,"Beverly","Far Southwest",64,50,68,0.348642805668989
"119",119,115,4.5,58,"Entire home/apt",5,1,2,"Bridgeport","South",81,61,82,0.0280713147175158
"120",120,95,3.5,11,"Entire home/apt",4,3,1,"Bridgeport","South",81,61,82,0.0280713147175158
"121",121,55,5,10,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"122",122,65,4.5,14,"Entire home/apt",7,3,3,"Bridgeport","South",81,61,82,0.0280713147175158
"123",123,29,4.5,39,"Private room",2,1,2,"Bridgeport","South",81,61,82,0.0280713147175158
"124",124,42,5,3,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"125",125,190,4,5,"Entire home/apt",6,2,NA,"Bridgeport","South",81,61,82,0.0280713147175158
"126",126,70,3.5,8,"Entire home/apt",4,2,2,"Bridgeport","South",81,61,82,0.0280713147175158
"127",127,49,4.5,24,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"128",128,58,4.5,145,"Private room",2,1,2,"Bridgeport","South",81,61,82,0.0280713147175158
"129",129,48,4.5,41,"Private room",4,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"130",130,75,5,27,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"131",131,159,5,20,"Entire home/apt",5,2,1,"Bridgeport","South",81,61,82,0.0280713147175158
"132",132,29,5,37,"Private room",2,1,2,"Bridgeport","South",81,61,82,0.0280713147175158
"133",133,91,4.5,68,"Entire home/apt",5,2,NA,"Bridgeport","South",81,61,82,0.0280713147175158
"134",134,78,5,23,"Private room",4,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"135",135,62,5,5,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"136",136,100,4.5,4,"Entire home/apt",4,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"137",137,110,4.5,18,"Entire home/apt",8,2,1,"Bridgeport","South",81,61,82,0.0280713147175158
"138",138,95,4,9,"Entire home/apt",7,3,3,"Bridgeport","South",81,61,82,0.0280713147175158
"139",139,100,5,75,"Entire home/apt",6,1,3,"Bridgeport","South",81,61,82,0.0280713147175158
"140",140,65,5,24,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"141",141,55,5,4,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"142",142,45,4.5,16,"Shared room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"143",143,37,4.5,34,"Private room",1,1,3,"Bridgeport","South",81,61,82,0.0280713147175158
"144",144,20,4,10,"Private room",3,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"145",145,190,5,5,"Entire home/apt",6,3,NA,"Bridgeport","South",81,61,82,0.0280713147175158
"146",146,145,4.5,4,"Entire home/apt",3,2,2,"Bridgeport","South",81,61,82,0.0280713147175158
"147",147,76,5,13,"Private room",3,1,2,"Bridgeport","South",81,61,82,0.0280713147175158
"148",148,50,5,4,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"149",149,110,5,59,"Entire home/apt",6,2,3,"Bridgeport","South",81,61,82,0.0280713147175158
"150",150,35,4.5,17,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"151",151,80,4.5,26,"Private room",3,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"152",152,42,3.5,6,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"153",153,55,5,20,"Private room",6,1,2,"Bridgeport","South",81,61,82,0.0280713147175158
"154",154,275,4.5,11,"Entire home/apt",10,4,2,"Bridgeport","South",81,61,82,0.0280713147175158
"155",155,36,5,33,"Private room",1,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"156",156,34,4.5,31,"Private room",1,1,2,"Bridgeport","South",81,61,82,0.0280713147175158
"157",157,114,5,31,"Entire home/apt",3,1,NA,"Bridgeport","South",81,61,82,0.0280713147175158
"158",158,75,4.5,30,"Entire home/apt",7,3,3,"Bridgeport","South",81,61,82,0.0280713147175158
"159",159,115,4.5,25,"Entire home/apt",5,2,2,"Bridgeport","South",81,61,82,0.0280713147175158
"160",160,84,4,11,"Entire home/apt",2,2,3,"Bridgeport","South",81,61,82,0.0280713147175158
"161",161,58,5,98,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"162",162,136,4.5,10,"Entire home/apt",6,2,2,"Bridgeport","South",81,61,82,0.0280713147175158
"163",163,62,5,4,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"164",164,42,4.5,24,"Private room",3,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"165",165,55,5,21,"Entire home/apt",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"166",166,65,5,17,"Private room",3,1,3,"Bridgeport","South",81,61,82,0.0280713147175158
"167",167,90,4.5,47,"Entire home/apt",6,2,NA,"Bridgeport","South",81,61,82,0.0280713147175158
"168",168,35,5,4,"Private room",1,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"169",169,210,5,7,"Entire home/apt",8,3,3,"Brighton Park","Southwest",72,60,65,0.0153160490475544
"170",170,56,5,26,"Entire home/apt",5,1,1,"Brighton Park","Southwest",72,60,65,0.0153160490475544
"171",171,50,5,3,"Shared room",5,1,1,"Brighton Park","Southwest",72,60,65,0.0153160490475544
"172",172,35,4.5,52,"Private room",4,1,2,"Burnside","Far Southeast",63,66,49,1
"173",173,30,4.5,152,"Private room",2,1,2,"Burnside","Far Southeast",63,66,49,1
"174",174,16,3.5,14,"Private room",1,1,1,"Calumet Heights","Far Southeast",63,58,54,0.934678124089717
"175",175,16,4,13,"Private room",1,1,1,"Calumet Heights","Far Southeast",63,58,54,0.934678124089717
"176",176,100,4.5,65,"Entire home/apt",4,1,4,"East Garfield Park","West",78,73,74,0.912761425251743
"177",177,169,4.5,22,"Entire home/apt",12,4,2,"East Garfield Park","West",78,73,74,0.912761425251743
"178",178,69,5,31,"Private room",2,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"179",179,109,4.5,8,"Entire home/apt",8,2,1,"East Garfield Park","West",78,73,74,0.912761425251743
"180",180,175,5,3,"Private room",1,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"181",181,95,3.5,29,"Entire home/apt",8,2,2,"East Garfield Park","West",78,73,74,0.912761425251743
"182",182,109,4.5,15,"Entire home/apt",8,2,1,"East Garfield Park","West",78,73,74,0.912761425251743
"183",183,79,4.5,56,"Entire home/apt",6,2,1,"East Garfield Park","West",78,73,74,0.912761425251743
"184",184,79,4.5,36,"Private room",6,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"185",185,54,4.5,22,"Private room",4,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"186",186,52,4.5,63,"Private room",4,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"187",187,48,4.5,48,"Private room",2,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"188",188,133,4.5,14,"Entire home/apt",6,2,1,"East Garfield Park","West",78,73,74,0.912761425251743
"189",189,88,4,11,"Entire home/apt",4,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"190",190,35,4.5,11,"Private room",5,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"191",191,36,4.5,39,"Private room",2,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"192",192,49,4.5,64,"Private room",2,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"193",193,165,5,32,"Private room",8,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"194",194,85,4.5,30,"Entire home/apt",6,3,1,"East Garfield Park","West",78,73,74,0.912761425251743
"195",195,89,5,4,"Private room",2,1,2,"East Garfield Park","West",78,73,74,0.912761425251743
"196",196,95,4.5,76,"Entire home/apt",7,3,2,"East Garfield Park","West",78,73,74,0.912761425251743
"197",197,42,4.5,12,"Private room",2,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"198",198,140,5,22,"Entire home/apt",2,2,1,"East Garfield Park","West",78,73,74,0.912761425251743
"199",199,55,5,73,"Private room",2,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"200",200,55,5,41,"Private room",2,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"201",201,55,4.5,141,"Entire home/apt",4,0,2,"East Garfield Park","West",78,73,74,0.912761425251743
"202",202,50,3.5,3,"Private room",2,1,NA,"East Garfield Park","West",78,73,74,0.912761425251743
"203",203,98,4.5,24,"Entire home/apt",6,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"204",204,55,5,86,"Private room",2,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"205",205,79,4.5,205,"Entire home/apt",5,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"206",206,96,4.5,22,"Entire home/apt",6,0,1,"East Garfield Park","West",78,73,74,0.912761425251743
"207",207,50,5,21,"Private room",2,1,2,"East Garfield Park","West",78,73,74,0.912761425251743
"208",208,100,5,17,"Private room",2,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"209",209,49,5,7,"Private room",2,1,2,"East Garfield Park","West",78,73,74,0.912761425251743
"210",210,59,5,29,"Private room",2,1,2,"East Garfield Park","West",78,73,74,0.912761425251743
"211",211,120,4,4,"Entire home/apt",6,2,2,"East Garfield Park","West",78,73,74,0.912761425251743
"212",212,88,4.5,26,"Entire home/apt",6,2,1,"East Garfield Park","West",78,73,74,0.912761425251743
"213",213,125,5,41,"Entire home/apt",4,2,2,"Edgewater","Far North",89,72,85,0.143112277440636
"214",214,95,5,54,"Entire home/apt",4,1,2,"Edgewater","Far North",89,72,85,0.143112277440636
"215",215,194,5,20,"Entire home/apt",6,3,3,"Edgewater","Far North",89,72,85,0.143112277440636
"216",216,250,5,5,"Entire home/apt",8,2,2,"Edgewater","Far North",89,72,85,0.143112277440636
"217",217,100,4.5,4,"Entire home/apt",4,2,4,"Edgewater","Far North",89,72,85,0.143112277440636
"218",218,44,5,5,"Private room",3,1,2,"Edgewater","Far North",89,72,85,0.143112277440636
"219",219,50,4,8,"Entire home/apt",6,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"220",220,64,5,24,"Private room",2,1,3,"Edgewater","Far North",89,72,85,0.143112277440636
"221",221,100,5,18,"Private room",2,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"222",222,60,5,284,"Private room",2,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"223",223,95,5,13,"Entire home/apt",4,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"224",224,125,4.5,3,"Entire home/apt",5,2,1,"Edgewater","Far North",89,72,85,0.143112277440636
"225",225,51,5,14,"Entire home/apt",2,0,3,"Edgewater","Far North",89,72,85,0.143112277440636
"226",226,120,5,11,"Private room",2,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"227",227,105,4.5,27,"Entire home/apt",4,1,2,"Edgewater","Far North",89,72,85,0.143112277440636
"228",228,125,5,18,"Entire home/apt",2,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"229",229,65,5,44,"Entire home/apt",2,0,2,"Edgewater","Far North",89,72,85,0.143112277440636
"230",230,70,5,47,"Private room",2,1,2,"Edgewater","Far North",89,72,85,0.143112277440636
"231",231,75,4.5,35,"Entire home/apt",2,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"232",232,44,5,21,"Private room",1,1,3,"Edgewater","Far North",89,72,85,0.143112277440636
"233",233,65,5,16,"Private room",1,1,2,"Edgewater","Far North",89,72,85,0.143112277440636
"234",234,120,4.5,173,"Entire home/apt",4,2,NA,"Edgewater","Far North",89,72,85,0.143112277440636
"235",235,70,5,6,"Entire home/apt",2,0,2,"Edgewater","Far North",89,72,85,0.143112277440636
"236",236,70,4.5,16,"Private room",2,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"237",237,90,5,27,"Entire home/apt",2,1,2,"Edgewater","Far North",89,72,85,0.143112277440636
"238",238,199,5,9,"Entire home/apt",8,2,2,"Edgewater","Far North",89,72,85,0.143112277440636
"239",239,42,5,83,"Private room",2,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"240",240,38,5,8,"Private room",2,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"241",241,125,5,8,"Entire home/apt",3,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"242",242,85,4.5,33,"Entire home/apt",4,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"243",243,60,5,14,"Private room",2,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"244",244,96,5,52,"Entire home/apt",2,1,2,"Edgewater","Far North",89,72,85,0.143112277440636
"245",245,124,5,7,"Entire home/apt",2,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"246",246,170,5,117,"Entire home/apt",7,3,2,"Edgewater","Far North",89,72,85,0.143112277440636
"247",247,85,5,13,"Private room",2,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"248",248,150,4.5,67,"Entire home/apt",6,3,1,"Edison Park","Far North",66,46,56,0.0107066381156317
"249",249,35,3.5,3,"Private room",2,1,1,"Englewood","Southwest",70,65,64,0.949810497301022
"250",250,20,4.5,85,"Shared room",1,1,1,"Gage Park","Southwest",73,60,63,0.0325712344060968
"251",251,20,4.5,62,"Shared room",1,1,1,"Gage Park","Southwest",73,60,63,0.0325712344060968
"252",252,25,4.5,42,"Private room",2,1,1,"Gage Park","Southwest",73,60,63,0.0325712344060968
"253",253,30,4.5,31,"Private room",2,1,1,"Gage Park","Southwest",73,60,63,0.0325712344060968
"254",254,35,5,51,"Private room",2,1,1,"Gage Park","Southwest",73,60,63,0.0325712344060968
"255",255,25,4.5,29,"Private room",2,1,1,"Gage Park","Southwest",73,60,63,0.0325712344060968
"256",256,33,5,3,"Private room",3,1,1,"Hegewisch","Far Southeast",52,34,65,0.0629938786867001
"257",257,79,4.5,12,"Entire home/apt",3,2,1,"Hegewisch","Far Southeast",52,34,65,0.0629938786867001
"258",258,125,4.5,43,"Entire home/apt",4,2,3,"Hermosa","Northwest",79,60,67,0.0148691592451646
"259",259,55,5,14,"Private room",4,1,1,"Hermosa","Northwest",79,60,67,0.0148691592451646
"260",260,195,5,3,"Entire home/apt",6,2,1,"Humboldt Park","West",84,67,82,0.408663721801094
"261",261,80,4.5,55,"Entire home/apt",6,3,1,"Humboldt Park","West",84,67,82,0.408663721801094
"262",262,39,3.5,3,"Entire home/apt",12,3,NA,"Humboldt Park","West",84,67,82,0.408663721801094
"263",263,130,5,33,"Entire home/apt",5,2,1,"Humboldt Park","West",84,67,82,0.408663721801094
"264",264,175,5,34,"Entire home/apt",4,2,3,"Humboldt Park","West",84,67,82,0.408663721801094
"265",265,65,4.5,27,"Private room",2,1,1,"Humboldt Park","West",84,67,82,0.408663721801094
"266",266,70,4.5,11,"Entire home/apt",4,2,1,"Humboldt Park","West",84,67,82,0.408663721801094
"267",267,50,4.5,138,"Private room",2,1,1,"Humboldt Park","West",84,67,82,0.408663721801094
"268",268,77,4.5,9,"Entire home/apt",2,1,1,"Humboldt Park","West",84,67,82,0.408663721801094
"269",269,85,4.5,23,"Entire home/apt",6,1,1,"Humboldt Park","West",84,67,82,0.408663721801094
"270",270,90,5,3,"Entire home/apt",4,2,1,"Humboldt Park","West",84,67,82,0.408663721801094
"271",271,115,5,137,"Entire home/apt",5,3,3,"Humboldt Park","West",84,67,82,0.408663721801094
"272",272,50,4.5,7,"Private room",1,1,1,"Humboldt Park","West",84,67,82,0.408663721801094
"273",273,75,3,6,"Entire home/apt",10,3,1,"Humboldt Park","West",84,67,82,0.408663721801094
"274",274,39,3.5,10,"Entire home/apt",10,3,NA,"Humboldt Park","West",84,67,82,0.408663721801094
"275",275,80,4.5,17,"Private room",2,1,1,"Humboldt Park","West",84,67,82,0.408663721801094
"276",276,115,5,4,"Entire home/apt",2,1,1,"Humboldt Park","West",84,67,82,0.408663721801094
"277",277,90,5,33,"Entire home/apt",5,2,1,"Humboldt Park","West",84,67,82,0.408663721801094
